annonce_id,annonce_state,city,country,created_at,end_date,phone_number,premium,price,quantity,start_date,title,transaction,updated_at,vehicle_id,vendor_id
6346,ACTIVE,"Nanterre, 92000",France,2024-12-31 15:10:21.026996,2025-02-28 15:10:21.027003,+33 762 18 72 68,f,152,1,2024-12-31 15:10:21.027002,Mercedes-Benz Classe A Occasion 2018 - 5177 Hybride km,Location,2024-12-31 15:10:21.026999,8545,15055
6347,ACTIVE,"Versailles, 78000",France,2024-12-31 15:10:21.370194,2025-02-28 15:10:21.370205,+33 684 81 15 49,f,20554,1,2024-12-31 15:10:21.370204,Mercedes-Benz GLA Occasion 2016 - 135843 Essence km,Vente,2024-12-31 15:10:21.370201,8546,15225
6348,ACTIVE,"Boulogne-Billancourt, 92100",France,2024-12-31 15:10:21.658749,2025-02-28 15:10:21.658761,+33 695 73 39 51,f,6278,1,2024-12-31 15:10:21.658759,Honda CB300R 2017 - 6660 km - Occasion,Vente,2024-12-31 15:10:21.658756,8547,15317
6349,ACTIVE,"Évry-Courcouronnes, 91000",France,2024-12-31 15:10:22.541578,2025-02-28 15:10:22.541592,+33 621 65 98 08,f,3021,1,2024-12-31 15:10:22.54159,Kawasaki Z650 2014 - 23098 km - Peu Endommagé,Vente,2024-12-31 15:10:22.541588,8548,16057
6350,ACTIVE,"Calais, 62100",France,2024-12-31 15:10:22.742688,2025-02-28 15:10:22.742697,+33 645 82 33 06,f,114,1,2024-12-31 15:10:22.742695,Mercedes-Benz Classe B Neuve 2023 - 40310 Diesel km,Location,2024-12-31 15:10:22.742693,8549,16433
6351,ACTIVE,"Brest, 29200",France,2024-12-31 15:10:23.077158,2025-02-28 15:10:23.077171,+33 723 86 22 59,f,25002,1,2024-12-31 15:10:23.077169,Chevrolet Camaro Neuve 2011 - 143798 Hybride km,Vente,2024-12-31 15:10:23.077166,8550,15730
6352,ACTIVE,"Reims, 51100",France,2024-12-31 15:10:23.293938,2025-02-28 15:10:23.293949,+33 660 11 51 53,f,10648,1,2024-12-31 15:10:23.293947,Harley-Davidson CVO 2018 - 4643 km - Peu Endommagé,Vente,2024-12-31 15:10:23.293945,8551,15985
6353,ACTIVE,"Marseille, 13000",France,2024-12-31 15:10:23.562907,2025-02-28 15:10:23.562916,+33 696 86 30 83,f,73,1,2024-12-31 15:10:23.562915,Kawasaki Ninja ZX-10R 2023 - 26741 km - Occasion,Location,2024-12-31 15:10:23.562912,8552,14824
6354,ACTIVE,"Dijon, 21000",France,2024-12-31 15:10:23.872812,2025-02-28 15:10:23.87282,+33 782 56 08 70,f,24148,1,2024-12-31 15:10:23.872818,Ford Fusion Neuve 2015 - 84140 Essence km,Vente,2024-12-31 15:10:23.872816,8553,15569
6355,ACTIVE,"Toulouse, 31000",France,2024-12-31 15:10:24.098356,2025-02-28 15:10:24.098363,+33 736 95 65 53,f,8936,1,2024-12-31 15:10:24.098362,Triumph Tiger 1200 2017 - 44505 km - Neuf,Vente,2024-12-31 15:10:24.098361,8554,15907
6356,ACTIVE,"Limoges, 87000",France,2024-12-31 15:10:24.329846,2025-02-28 15:10:24.329862,+33 701 77 51 94,f,40,1,2024-12-31 15:10:24.32986,Honda CRF450R 2021 - 27127 km - Occasion,Location,2024-12-31 15:10:24.329858,8555,15787
6357,ACTIVE,"Le Havre, 76600",France,2024-12-31 15:10:24.540505,2025-02-28 15:10:24.540511,+33 649 02 22 51,f,5740,1,2024-12-31 15:10:24.54051,BMW C400X 2015 - 44259 km - Neuf,Vente,2024-12-31 15:10:24.540508,8556,16186
6358,ACTIVE,"Rouen, 76000",France,2024-12-31 15:10:24.90489,2025-02-28 15:10:24.904895,+33 705 56 61 98,f,36058,1,2024-12-31 15:10:24.904894,Nissan Maxima Neuve 2016 - 99715 Hybride km,Vente,2024-12-31 15:10:24.904893,8557,14397
6359,ACTIVE,"Paris, 75000",France,2024-12-31 15:10:25.20069,2025-02-28 15:10:25.2007,+33 765 41 10 16,f,153,1,2024-12-31 15:10:25.200699,Mercedes-Benz Classe E Neuve 2011 - 50917 Hybride km,Location,2024-12-31 15:10:25.200697,8558,16422
6360,ACTIVE,"Tours, 37000",France,2024-12-31 15:10:25.454632,2025-02-28 15:10:25.454635,+33 622 95 83 77,f,42,1,2024-12-31 15:10:25.454635,Kawasaki Ninja 400 2014 - 49678 km - Occasion,Location,2024-12-31 15:10:25.454635,8559,16375
6361,ACTIVE,"Lyon, 69000",France,2024-12-31 15:10:25.712195,2025-02-28 15:10:25.7122,+33 768 05 02 01,f,97,1,2024-12-31 15:10:25.7122,KTM 690 Enduro R 2021 - 45843 km - Neuf,Location,2024-12-31 15:10:25.712198,8560,15985
6362,ACTIVE,"Nîmes, 30000",France,2024-12-31 15:10:26.000083,2025-02-28 15:10:26.000088,+33 697 13 46 49,f,31337,1,2024-12-31 15:10:26.000087,Audi A7 Occasion 2018 - 101980 Diesel km,Vente,2024-12-31 15:10:26.000086,8561,14560
